fold_source,analysis_role,eligible_for_intervention_fold_gate,outer_fold,age_band,rows,actual_dead_rate,predicted_dead_rate,weighted_f1,dead_class_f1,accuracy,dead_precision,dead_recall,true_positive,false_positive,true_negative,false_negative,false_positive_rate,false_negative_rate,error_rate,mean_probability,roc_auc,brier_score
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,55-59 years,358,0.8072625698324022,0.8463687150837989,0.813250987516621,0.8918918918918919,0.8212290502793296,0.8712871287128713,0.9134948096885813,264,39,30,25,0.5652173913043478,0.08650519031141868,0.1787709497206704,0.8170414414373965,0.8381224612607191,0.12039118996152053
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,55-59 years,356,0.7808988764044944,0.8117977528089888,0.8526972647081131,0.91005291005291,0.8567415730337079,0.8927335640138409,0.9280575539568345,258,31,47,20,0.3974358974358974,0.07194244604316546,0.14325842696629212,0.7995347375231646,0.8892731968271537,0.09927643167625609
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,60-64 years,608,0.7697368421052632,0.8157894736842105,0.8287775108587514,0.8962655601659751,0.8355263157894737,0.8709677419354839,0.9230769230769231,432,64,76,36,0.45714285714285713,0.07692307692307693,0.16447368421052633,0.7983223014876962,0.8899420024420024,0.10965419942854365
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,60-64 years,564,0.8014184397163121,0.8102836879432624,0.8765994640851434,0.9240924092409241,0.8776595744680851,0.9190371991247265,0.9292035398230089,420,37,75,32,0.33035714285714285,0.07079646017699115,0.12234042553191489,0.8081103221512856,0.9119390012642226,0.08954624200053475
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,60-64 years,610,0.8147540983606557,0.8,0.8594565500293024,0.9116751269035533,0.8573770491803279,0.9200819672131147,0.903420523138833,449,39,74,48,0.34513274336283184,0.096579476861167,0.14262295081967213,0.7948898359922182,0.8671141895621516,0.0984174959198171
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,60-64 years,581,0.8123924268502581,0.8209982788296041,0.8732108436842868,0.9230769230769231,0.8743545611015491,0.9182389937106918,0.9279661016949152,438,39,70,34,0.3577981651376147,0.07203389830508475,0.12564543889845095,0.8028496947495251,0.8908801119577049,0.08734179981727336
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,60-64 years,562,0.8167259786476868,0.8078291814946619,0.8571849098999952,0.9112814895947426,0.8558718861209964,0.9162995594713657,0.906318082788671,416,38,65,43,0.36893203883495146,0.09368191721132897,0.14412811387900357,0.8121750660812038,0.8703809463375427,0.09284182020908022
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,65-69 years,783,0.8122605363984674,0.8212005108556832,0.8543182339429013,0.9116497263487099,0.855683269476373,0.9066874027993779,0.9166666666666666,583,60,87,53,0.40816326530612246,0.08333333333333333,0.14431673052362706,0.8087112641634996,0.8871668164120994,0.09428095158468051
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,65-69 years,787,0.8017789072426937,0.8081321473951716,0.8453029363916181,0.904498816101026,0.8462515883100381,0.9009433962264151,0.9080824088748018,573,63,93,58,0.40384615384615385,0.0919175911251981,0.15374841168996187,0.8015807751287397,0.8806026250558738,0.10103875753432015
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,65-69 years,753,0.7915006640106241,0.8061088977423638,0.8613562670710048,0.914380714879468,0.8632138114209827,0.9060955518945635,0.9228187919463087,550,57,100,46,0.3630573248407643,0.07718120805369127,0.13678618857901725,0.8048387807221876,0.8876159534903604,0.09748530104625125
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,65-69 years,771,0.7937743190661478,0.7937743190661478,0.8443579766536965,0.9019607843137255,0.8443579766536965,0.9019607843137255,0.9019607843137255,552,60,99,60,0.37735849056603776,0.09803921568627451,0.1556420233463035,0.79041358302466,0.8872035187240515,0.1028361605155965
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,65-69 years,757,0.7939233817701453,0.8005284015852048,0.8391879515928227,0.899751449875725,0.8401585204755614,0.8960396039603961,0.9034941763727121,543,63,93,58,0.40384615384615385,0.09650582362728785,0.15984147952443858,0.8067697871942631,0.8604142668202569,0.11154813072836839
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,70-74 years,818,0.8056234718826406,0.8312958435207825,0.865594414078759,0.9200896191187453,0.8691931540342298,0.9058823529411765,0.9347496206373292,616,64,95,43,0.4025157232704403,0.06525037936267071,0.13080684596577016,0.8143379217234706,0.907941325240263,0.08767244468893858
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,70-74 years,857,0.8249708284714119,0.822637106184364,0.8766346820956284,0.9249291784702549,0.8763127187864644,0.926241134751773,0.9236209335219236,653,52,98,54,0.3466666666666667,0.07637906647807638,0.12368728121353559,0.8068615219611812,0.9030645921735031,0.08360368690474332
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,70-74 years,841,0.8133174791914387,0.8323424494649228,0.8834455791756766,0.930635838150289,0.8858501783590963,0.92,0.9415204678362573,644,56,101,40,0.35668789808917195,0.05847953216374269,0.11414982164090369,0.8136667907219208,0.897260401534622,0.08603098691357793
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,70-74 years,857,0.8039673278879813,0.808634772462077,0.8687134015649282,0.918958031837916,0.8693115519253208,0.9163059163059163,0.9216255442670537,635,58,110,54,0.34523809523809523,0.0783744557329463,0.1306884480746791,0.8013904387054976,0.8995870481719539,0.08864599542298253
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,70-74 years,860,0.7976744186046512,0.8255813953488372,0.8636717679897529,0.9183381088825215,0.8674418604651163,0.9028169014084507,0.934402332361516,641,69,105,45,0.39655172413793105,0.06559766763848396,0.1325581395348837,0.8250134235528545,0.8897992694614791,0.09649287068290467
