candidate,age_band,age_sort,rows,actual_dead_rate,predicted_dead_rate,weighted_f1,dead_class_f1,accuracy,dead_precision,dead_recall,true_positive,false_positive,true_negative,false_negative,false_positive_rate,false_negative_rate,error_rate,mean_probability,roc_auc,brier_score
frozen_tree_pre_pseudo_proxy,50-54 years,50,789,0.7693282636248415,0.7984790874524715,0.853282224366225,0.9086499595796281,0.8567807351077313,0.8920634920634921,0.9258649093904449,562,68,114,45,0.37362637362637363,0.07413509060955518,0.1432192648922687,0.7793365912180602,0.8902275648568895,0.09831113166875649
frozen_tree_pre_pseudo_proxy,55-59 years,55,1821,0.7924217462932455,0.8204283360790774,0.8391905288853435,0.9029622063329928,0.8434925864909391,0.8875502008032129,0.918918918918919,1326,168,210,117,0.4444444444444444,0.08108108108108109,0.15650741350906094,0.8001696746170953,0.8673655340322006,0.1088417426608422
frozen_tree_pre_pseudo_proxy,60-64 years,60,2925,0.8027350427350427,0.8112820512820513,0.8562349373239863,0.9116712560898115,0.8574358974358974,0.9068689422671724,0.9165247018739353,2152,221,356,196,0.3830155979202773,0.08347529812606473,0.14256410256410257,0.8011511446252914,0.8875218114018641,0.0955690416281378
frozen_tree_pre_pseudo_proxy,65-69 years,65,3851,0.7987535705011686,0.8065437548688652,0.8508849772935406,0.9077968295050146,0.8519864970137626,0.9034127495170637,0.91222366710013,2806,300,475,270,0.3870967741935484,0.08777633289986995,0.14801350298623733,0.8006914047022161,0.8809530601115818,0.10082300881600642
frozen_tree_pre_pseudo_proxy,70-74 years,70,4233,0.8091188282541932,0.8237656508386487,0.8709380111883508,0.9221643518518519,0.8729033782187574,0.9139661600229424,0.9305109489051094,3187,300,508,238,0.3712871287128713,0.06948905109489051,0.12709662178124262,0.8104720375519068,0.8993665534436655,0.088408636336063
frozen_tree_pre_pseudo_proxy,75-79 years,75,4027,0.8348646635212317,0.8502607400049664,0.8814741223382005,0.9310344827586207,0.8837844549292277,0.9226051401869159,0.9396192742415229,3159,265,400,203,0.39849624060150374,0.0603807257584771,0.11621554507077228,0.8368666740763522,0.9028697561870173,0.08216494233911399
frozen_tree_pre_pseudo_proxy,80-84 years,80,2943,0.8827726809378186,0.8977234114848793,0.9076172901366842,0.9496183206106871,0.910295616717635,0.9417108251324754,0.9576597382602001,2488,154,191,110,0.4463768115942029,0.042340261739799843,0.08970438328236494,0.8815645809897157,0.9152514197096986,0.06352791444834764
frozen_tree_pre_pseudo_proxy,85-89 years,85,1823,0.9325287986834887,0.9550191991223258,0.9393865686329367,0.970648067422261,0.9445968184311574,0.9592188397472717,0.9823529411764705,1670,71,52,30,0.5772357723577236,0.01764705882352941,0.055403181568842566,0.9301725603445343,0.9181492109038738,0.041595212842607504
frozen_tree_pre_pseudo_proxy,90+ years,90,957,0.96760710553814,0.9801462904911181,0.964991187589974,0.9839055793991416,0.9686520376175548,0.9776119402985075,0.990280777537797,917,21,10,9,0.6774193548387096,0.009719222462203024,0.03134796238244514,0.9597882544176644,0.9213056503866787,0.0236360159313492
nested_pseudo90,01-04 years,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,3,0,0.0,,0.0,0.05808259811021904,,0.00449813170459431
nested_pseudo90,05-09 years,5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,,0.0,0.2616208548842833,,0.06844547171038323
nested_pseudo90,10-14 years,10,2,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0,0,1,1,0.0,1.0,0.5,0.06005436295445767,1.0,0.39918680975448123
nested_pseudo90,15-19 years,15,3,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,1,0,0,2,,0.6666666666666666,0.6666666666666666,0.6309640809232367,,0.18562630440418806
nested_pseudo90,20-24 years,20,10,0.4,0.5,0.7030303030303029,0.6666666666666666,0.7,0.6,0.75,3,2,4,1,0.3333333333333333,0.25,0.3,0.5056375516705847,0.75,0.25439778725122286
nested_pseudo90,25-29 years,25,17,0.5882352941176471,0.47058823529411764,0.7663398692810458,0.7777777777777778,0.7647058823529411,0.875,0.7,7,1,6,3,0.14285714285714285,0.3,0.23529411764705882,0.5279440787223807,0.9,0.12580477811237845
nested_pseudo90,30-34 years,30,27,0.5185185185185185,0.48148148148148145,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8461538461538461,0.7857142857142857,11,2,11,3,0.15384615384615385,0.21428571428571427,0.18518518518518517,0.5292219051209098,0.9175824175824175,0.10050950087554934
nested_pseudo90,35-39 years,35,69,0.6376811594202898,0.6811594202898551,0.7203884613690349,0.7912087912087912,0.7246376811594203,0.7659574468085106,0.8181818181818182,36,11,14,8,0.44,0.18181818181818182,0.2753623188405797,0.6851709818691767,0.7972727272727272,0.17615936432011048
nested_pseudo90,40-44 years,40,158,0.6962025316455697,0.7151898734177216,0.8658388982782392,0.905829596412556,0.8670886075949367,0.8938053097345132,0.9181818181818182,101,12,36,9,0.25,0.08181818181818182,0.13291139240506328,0.70573548515474,0.9147727272727273,0.10073885686202819
nested_pseudo90,45-49 years,45,341,0.7302052785923754,0.750733137829912,0.8306977444600666,0.8871287128712871,0.8328445747800587,0.875,0.8995983935742972,224,32,60,25,0.34782608695652173,0.10040160642570281,0.16715542521994134,0.7423694279389217,0.9002968395320412,0.11325097254526595
nested_pseudo90,50-54 years,50,789,0.7693282636248415,0.7959442332065906,0.8484323247009431,0.9052631578947369,0.8517110266159695,0.8901273885350318,0.9209225700164745,559,69,113,48,0.3791208791208791,0.07907742998352553,0.1482889733840304,0.7827661090219645,0.8829679381573944,0.10091773686568914
nested_pseudo90,55-59 years,55,1821,0.7924217462932455,0.8215266337177375,0.8344849407078724,0.9003062266076897,0.8390993959362988,0.8843582887700535,0.9168399168399168,1323,173,205,120,0.4576719576719577,0.08316008316008316,0.16090060406370127,0.8080146378759672,0.8536375203041869,0.11401164626646827
nested_pseudo90,60-64 years,60,2925,0.8027350427350427,0.8116239316239316,0.8565302397209181,0.9119017365523083,0.8577777777777778,0.9069081718618366,0.9169505962521295,2153,221,356,195,0.3830155979202773,0.08304940374787052,0.14222222222222222,0.8100715726714469,0.8819615646931347,0.09851285691640231
nested_pseudo90,65-69 years,65,3851,0.7987535705011686,0.8088808101791742,0.8481826777067698,0.906477144241641,0.8496494417034537,0.9008025682182985,0.91222366710013,2806,309,466,270,0.3987096774193548,0.08777633289986995,0.15035055829654634,0.8069224734511594,0.8775003146105121,0.10256136250981993
nested_pseudo90,70-74 years,70,4233,0.8091188282541932,0.8223482163949918,0.8711374631169515,0.9220967274833478,0.8729033782187574,0.9146796897443263,0.9296350364963504,3184,297,511,241,0.36757425742574257,0.07036496350364964,0.12709662178124262,0.816549770765681,0.8946299775962997,0.09134008745243276
nested_pseudo90,75-79 years,75,4027,0.8348646635212317,0.8512540352619816,0.8777647633058241,0.9290132547864507,0.8803079215296747,0.9200700116686115,0.9381320642474718,3154,274,391,208,0.4120300751879699,0.061867935752528254,0.1196920784703253,0.8447519962683536,0.9003068349040358,0.08323852425205731
nested_pseudo90,80-84 years,80,2943,0.8827726809378186,0.8970438328236493,0.9035549047791972,0.9473081328751431,0.9062181447502549,0.9397727272727273,0.9549653579676675,2481,159,186,117,0.4608695652173913,0.04503464203233257,0.09378185524974515,0.8898074955338434,0.9116499871696178,0.06495959321845664
nested_pseudo90,85-89 years,85,1823,0.9325287986834887,0.9522764673614921,0.9371747573072386,0.9691501746216531,0.9418540866703237,0.9591013824884793,0.9794117647058823,1665,71,52,35,0.5772357723577236,0.020588235294117647,0.058145913329676356,0.9384125734377687,0.9150310856049737,0.04256549803803056
nested_pseudo90,90+ years,90,957,0.96760710553814,0.9811912225705329,0.9634229864132531,0.9833780160857909,0.96760710553814,0.9765708200212992,0.990280777537797,917,22,9,9,0.7096774193548387,0.009719222462203024,0.03239289446185998,0.9691139455041262,0.9187277920992127,0.02463650811917163
nested_pseudo95_proxy,01-04 years,1,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,3,0,0.0,,0.0,0.06071808660777938,,0.004949451183139142
nested_pseudo95_proxy,05-09 years,5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,,0.0,0.22275134370568161,,0.0496181611226867
nested_pseudo95_proxy,10-14 years,10,2,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0,0,1,1,0.0,1.0,0.5,0.06200257768077139,1.0,0.3980755144438129
nested_pseudo95_proxy,15-19 years,15,3,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,1,0,0,2,,0.6666666666666666,0.6666666666666666,0.6200184376793569,,0.19631017114374913
nested_pseudo95_proxy,20-24 years,20,10,0.4,0.6,0.6,0.6,0.6,0.5,0.75,3,3,3,1,0.5,0.25,0.4,0.5115972538259796,0.75,0.25962601358963056
nested_pseudo95_proxy,25-29 years,25,17,0.5882352941176471,0.47058823529411764,0.7663398692810458,0.7777777777777778,0.7647058823529411,0.875,0.7,7,1,6,3,0.14285714285714285,0.3,0.23529411764705882,0.5319119816304262,0.8857142857142857,0.1288302488740939
