feature_family,feature,level,focal_count,rest_count,focal_prevalence,rest_prevalence,prevalence_difference,focal_dead_rate,rest_dead_rate,focal_error_rate,rest_error_rate
data_quality,diagnostic_confirmation,Unknown,20,800,0.010982976386600769,0.03607015645430362,-0.02508718006770285,0.95,0.9925,0.05,0.005
data_quality,diagnostic_confirmation,Radiography without microscopic confirm,68,1779,0.037342119714442616,0.08021101041525767,-0.04286889070081506,0.8970588235294118,0.9286115795390669,0.1323529411764706,0.056211354693648116
disease_profile,grade_recode_thru2017,Unknown,612,6729,0.33607907742998355,0.3033951034762613,0.032683973953722245,0.9084967320261438,0.9594293357111012,0.08986928104575163,0.038044285926586416
disease_profile,grade_recode_thru2017,Poorly differentiated; Grade III,215,1944,0.11806699615595827,0.0876504801839578,0.03041651597200047,0.827906976744186,0.9156378600823045,0.14883720930232558,0.08641975308641975
disease_profile,grade_recode_thru2017,Undifferentiated; anaplastic; Grade IV,28,194,0.015376166941241077,0.008747012940168627,0.006629154001072449,0.8928571428571429,0.9536082474226805,0.10714285714285714,0.05154639175257732
disease_profile,grade_recode_thru2017,<RARE n<30>,0,2,0.0,9.017539113575905e-05,-9.017539113575905e-05,,0.5,,1.0
disease_profile,grade_recode_thru2017,B-cell; pre-B; B-precursor,3,60,0.0016474464579901153,0.0027052617340727714,-0.001057815276082656,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.3333333333333333
disease_profile,grade_recode_thru2017,Moderately differentiated; Grade II,112,1516,0.061504667764964306,0.06835294648090535,-0.006848278715941049,0.75,0.8344327176781002,0.23214285714285715,0.15897097625329815
disease_profile,grade_recode_thru2017,Well differentiated; Grade I,30,542,0.016474464579901153,0.024437530997790703,-0.00796306641788955,0.6666666666666666,0.6992619926199262,0.43333333333333335,0.2177121771217712
disease_profile,grade_recode_thru2017,Blank(s),821,11192,0.45085118066996155,0.5046214887957077,-0.053770308125746125,0.705237515225335,0.7483917083631165,0.1900121802679659,0.16047176554681916
histology,histologic_type_icdo3,8041,284,2403,0.15595826468973092,0.1083457324496145,0.047612532240116426,0.9190140845070423,0.9300873907615481,0.06690140845070422,0.0715771951727008
histology,histologic_type_icdo3,8140,734,8207,0.4030752333882482,0.37003471752558725,0.033040515862660935,0.7956403269754768,0.8278299013037651,0.17029972752043596,0.13391007676373828
histology,histologic_type_icdo3,8246,31,190,0.017023613399231193,0.00856666215789711,0.008456951241334084,0.9032258064516129,0.9315789473684211,0.12903225806451613,0.031578947368421054
histology,histologic_type_icdo3,8551,53,461,0.029104887424492038,0.020785427656792463,0.008319459767699575,0.2641509433962264,0.2950108459869848,0.20754716981132076,0.2017353579175705
histology,histologic_type_icdo3,8240,34,289,0.018671059857221308,0.013030344019117183,0.005640715838104125,0.2647058823529412,0.328719723183391,0.20588235294117646,0.20761245674740483
histology,histologic_type_icdo3,8046,104,1156,0.057111477210323995,0.05212137607646873,0.004990101133855264,0.7980769230769231,0.8737024221453287,0.16346153846153846,0.11418685121107267
histology,histologic_type_icdo3,<RARE n<30>,42,409,0.023064250411861616,0.018440867487262726,0.004623382924598889,0.6666666666666666,0.726161369193154,0.14285714285714285,0.1784841075794621
histology,histologic_type_icdo3,8013,21,167,0.011532125205930808,0.00752964515983588,0.0040024800460949275,0.9523809523809523,0.874251497005988,0.14285714285714285,0.11976047904191617
histology,histologic_type_icdo3,8022,5,25,0.0027457440966501922,0.0011271923891969882,0.001618551707453204,1.0,0.8,0.2,0.2
histology,histologic_type_icdo3,8045,6,47,0.0032948929159802307,0.0021191216916903377,0.001175771224289893,0.8333333333333334,0.8723404255319149,0.16666666666666666,0.19148936170212766
histology,histologic_type_icdo3,8249,6,58,0.0032948929159802307,0.0026150863429370125,0.0006798065730432182,0.5,0.5172413793103449,0.16666666666666666,0.29310344827586204
histology,histologic_type_icdo3,8255,20,233,0.010982976386600769,0.010505433067315929,0.0004775433192848403,0.5,0.6137339055793991,0.5,0.24034334763948498
histology,histologic_type_icdo3,8230,8,89,0.004393190554640308,0.004012804905541277,0.0003803856490990302,0.625,0.48314606741573035,0.625,0.3595505617977528
histology,histologic_type_icdo3,8550,19,233,0.01043382756727073,0.010505433067315929,-7.160550004519858e-05,0.5789473684210527,0.6566523605150214,0.3157894736842105,0.351931330472103
histology,histologic_type_icdo3,8260,9,114,0.004942339373970346,0.005139997294738266,-0.00019765792076792063,0.7777777777777778,0.5263157894736842,0.2222222222222222,0.2543859649122807
histology,histologic_type_icdo3,9680,2,41,0.001098297638660077,0.0018485955182830605,-0.0007502978796229836,1.0,0.6829268292682927,1.0,0.34146341463414637
histology,histologic_type_icdo3,9699,2,42,0.001098297638660077,0.0018936832138509402,-0.0007953855751908633,0.0,0.40476190476190477,0.0,0.2619047619047619
histology,histologic_type_icdo3,8012,2,46,0.001098297638660077,0.0020740339961224583,-0.0009757363574623814,0.5,0.9130434782608695,0.5,0.06521739130434782
histology,histologic_type_icdo3,8033,2,61,0.001098297638660077,0.002750349429640651,-0.0016520517909805743,1.0,0.8852459016393442,0.0,0.11475409836065574
histology,histologic_type_icdo3,8250,11,176,0.0060406370126304225,0.007935434419946796,-0.0018947974073163735,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.1590909090909091
histology,histologic_type_icdo3,8480,10,165,0.0054914881933003845,0.0074394697687001216,-0.001947981575399737,0.8,0.7818181818181819,0.3,0.16363636363636364
histology,histologic_type_icdo3,8560,8,148,0.004393190554640308,0.00667297894404617,-0.002279788389405862,0.875,0.8783783783783784,0.125,0.13513513513513514
histology,histologic_type_icdo3,8072,8,153,0.004393190554640308,0.006898417421885568,-0.00250522686724526,0.25,0.6797385620915033,0.375,0.20915032679738563
histology,histologic_type_icdo3,8253,5,119,0.0027457440966501922,0.005365435772577663,-0.002619691675927471,0.6,0.6302521008403361,0.8,0.16806722689075632
histology,histologic_type_icdo3,8071,16,277,0.008786381109280615,0.012489291672302628,-0.003702910563022013,0.8125,0.7003610108303249,0.3125,0.18411552346570398
histology,histologic_type_icdo3,8010,62,901,0.034047226798462386,0.040624013706659454,-0.006576786908197067,0.8870967741935484,0.9367369589345172,0.0967741935483871,0.051054384017758046
histology,histologic_type_icdo3,8070,248,3708,0.13618890719384955,0.16718517516569728,-0.030996267971847735,0.8467741935483871,0.8740560949298813,0.15725806451612903,0.10436893203883495
histology,histologic_type_icdo3,8000,69,2261,0.03789126853377265,0.10194327967897561,-0.06405201114520295,0.9565217391304348,0.9619637328615657,0.057971014492753624,0.03538257408226449
histology,histology_family,small-cell family,290,2464,0.15925315760571115,0.11109608187925515,0.048157075726456,0.9172413793103448,0.9289772727272727,0.06896551724137931,0.07386363636363637
histology,histology_family,adenocarcinoma family,881,9910,0.48380010982976385,0.4468190630776861,0.03698104675207775,0.738933030646992,0.7745711402623613,0.18955732122587968,0.14994954591321896
histology,histology_family,neuroendocrine family,72,537,0.039538714991762765,0.024212092519951305,0.01532662247181146,0.5694444444444444,0.5623836126629422,0.18055555555555555,0.15456238361266295
histology,histology_family,large-cell family,24,213,0.013179571663920923,0.009603679155958339,0.003575892507962584,0.9166666666666666,0.8826291079812206,0.16666666666666666,0.107981220657277
histology,histology_family,other histology,138,1665,0.0757825370675453,0.0750710131205194,0.0007115239470258938,0.7753623188405797,0.8336336336336336,0.18115942028985507,0.13633633633633635
histology,histology_family,squamous family,276,4178,0.1515650741350906,0.18837639208260065,-0.03681131794751005,0.822463768115942,0.8547151747247487,0.17028985507246377,0.11464815701292484
histology,histology_family,NOS/other epithelial family,140,3212,0.07688083470620538,0.14482167816402905,-0.06794084345782367,0.9214285714285714,0.9536114570361146,0.07857142857142857,0.04078455790784558
stage,derived_eod_composite_stage,EOD unavailable (all blank),1000,10987,0.5491488193300385,0.4953785112042923,0.053770308125746125,0.864,0.9193592427414217,0.131,0.07417857467916629
stage,derived_eod_composite_stage,M1 distant/metastatic,432,4889,0.2372322899505766,0.220433743631363,0.016798546319213598,0.8587962962962963,0.8936387809367969,0.13657407407407407,0.1039067293925138
stage,derived_eod_composite_stage,M0 N1-3 node-positive,150,1679,0.08237232289950576,0.07570224085846973,0.0066700820410360295,0.6133333333333333,0.7331745086360929,0.29333333333333333,0.20488385944014295
stage,derived_eod_composite_stage,EOD not applicable (88),51,703,0.02800658978583196,0.031696649984219304,-0.0036900601983873432,0.6666666666666666,0.7724039829302988,0.21568627450980393,0.18634423897581792
stage,derived_eod_composite_stage,M0 N0 T3-4 locally advanced,30,581,0.016474464579901153,0.026195951124938003,-0.00972148654503685,0.6,0.6643717728055077,0.4,0.2117039586919105
stage,derived_eod_composite_stage,M0 indeterminate T/N,27,905,0.014827018121911038,0.04080436448893097,-0.02597734636701993,0.7777777777777778,0.8972375690607735,0.07407407407407407,0.08729281767955802
stage,derived_eod_composite_stage,M0 N0 T0-2 localized,131,2435,0.07193849533223504,0.10978853870778664,-0.037850043375551604,0.3282442748091603,0.42505133470225875,0.21374045801526717,0.2509240246406571
stage,summary_stage,Distant,634,5775,0.3481603514552444,0.26038144190450424,0.08777890955074014,0.9479495268138801,0.9787012987012987,0.050473186119873815,0.021645021645021644
stage,summary_stage,Regional,226,2236,0.1241076331685887,0.10081608728977862,0.023291545878810077,0.7345132743362832,0.8877459749552773,0.22123893805309736,0.12075134168157424
stage,summary_stage,Unknown/unstaged,25,698,0.013728720483250962,0.03147121150637991,-0.01774249102312895,0.96,0.9871060171919771,0.04,0.014326647564469915
stage,summary_stage,Localized,113,2264,0.06205381658429435,0.10207854276567925,-0.040024726181384904,0.6371681415929203,0.7787102473498233,0.415929203539823,0.18021201413427562
stage,summary_stage,Blank(s),823,11206,0.45194947830862164,0.505252716533658,-0.05330323822503635,0.7047387606318347,0.7485275745136534,0.19076549210206561,0.1604497590576477
treatment,radiation_recode,Beam radiation,818,8293,0.44920373421197146,0.3739122593444249,0.07529147486754656,0.8227383863080685,0.8314240926082238,0.17237163814180928,0.13818883395634873
