cluster_type,cluster,focal_rows,rest_same_cluster_rows,focal_dead_rate,rest_dead_rate,focal_predicted_dead_rate,rest_predicted_dead_rate,focal_weighted_f1,rest_weighted_f1,focal_false_positive,focal_false_negative,rest_false_positive,rest_false_negative,focal_alive_denominator,rest_alive_denominator,focal_false_positive_rate,rest_false_positive_rate,false_positive_rate_difference,fpr_fisher_p_value,focal_dead_denominator,rest_dead_denominator,focal_false_negative_rate,rest_false_negative_rate,false_negative_rate_difference,fnr_fisher_p_value,focal_error_rate,rest_error_rate,error_rate_difference,overall_error_fisher_p_value,overall_error_bh_q_value,fpr_bh_q_value,fnr_bh_q_value,descriptive_overall_error_flag,fpr_denominator_gate,fnr_denominator_gate,class_conditional_fpr_signal,class_conditional_fnr_signal,class_conditional_excess_error_signal
composite_stage_x_histology_code,M1 distant/metastatic | 8010,22,285,1.0,0.9578947368421052,1.0,0.9824561403508771,1.0,0.9452835364658855,0,0,10,3,0,12,,0.8333333333333334,,,22,273,0.0,0.01098901098901099,-0.01098901098901099,1.0,0.0,0.0456140350877193,-0.0456140350877193,0.6094990814248374,0.93769089449975,,1.0,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N1-3 node-positive | small-cell family,22,283,0.7727272727272727,0.8021201413427562,0.9090909090909091,0.872791519434629,0.8399438399438399,0.800158560072292,3,0,36,16,5,56,0.6,0.6428571428571429,-0.04285714285714293,1.0,17,227,0.0,0.07048458149779736,-0.07048458149779736,0.6112462620070982,0.13636363636363635,0.18374558303886926,-0.047381946675232905,0.7759756895594538,0.8356661272178734,1.0,0.9168693930106472,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N1-3 node-positive | 8041,22,275,0.7727272727272727,0.8,0.9090909090909091,0.8763636363636363,0.8399438399438399,0.7968900046308708,3,0,36,15,5,55,0.6,0.6545454545454545,-0.054545454545454564,1.0,17,220,0.0,0.06818181818181818,-0.06818181818181818,0.6089263513926255,0.13636363636363635,0.18545454545454546,-0.0490909090909091,0.7757582333102071,0.9800313226121161,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N0 T0-2 localized | adenocarcinoma family,87,1389,0.27586206896551724,0.3354931605471562,0.09195402298850575,0.21310295176385888,0.7804759592034969,0.7428546604910528,0,16,82,252,63,923,0.0,0.08884073672806067,-0.08884073672806067,0.007379021786040725,24,466,0.6666666666666666,0.5407725321888412,0.12589413447782538,0.29404052817447945,0.1839080459770115,0.24046076313894887,-0.05655271716193738,0.2453721663612673,0.404142391653852,0.09961679411154979,0.6037857003266422,False,True,False,False,False,False
composite_stage_x_histology_code,M0 N0 T0-2 localized | 8250,9,106,0.1111111111111111,0.1792452830188679,0.0,0.11320754716981132,0.8366013071895425,0.8039834153263636,0,1,6,13,8,87,0.0,0.06896551724137931,-0.06896551724137931,1.0,1,19,1.0,0.6842105263157895,0.3157894736842105,1.0,0.1111111111111111,0.1792452830188679,-0.06813417190775681,1.0,1.0,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8260,6,60,0.8333333333333334,0.7666666666666667,1.0,0.75,0.7575757575757575,0.7529367184539598,1,0,7,8,1,14,1.0,0.5,0.5,1.0,5,46,0.0,0.17391304347826086,-0.17391304347826086,0.5797127361582932,0.16666666666666666,0.25,-0.08333333333333334,1.0,1.0,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8071,6,99,0.8333333333333334,0.9292929292929293,0.8333333333333334,0.9393939393939394,1.0,0.9058401058401059,0,0,5,4,1,7,0.0,0.7142857142857143,-0.7142857142857143,0.375,5,92,0.0,0.043478260869565216,-0.043478260869565216,1.0,0.0,0.09090909090909091,-0.09090909090909091,1.0,1.0,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N0 T0-2 localized | 8240,11,103,0.0,0.1650485436893204,0.0,0.05825242718446602,1.0,0.8004438016547989,0,0,3,14,11,86,0.0,0.03488372093023256,-0.03488372093023256,1.0,0,17,,0.8235294117647058,,,0.0,0.1650485436893204,-0.1650485436893204,0.36567696530041105,0.6965275529531639,1.0,,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N0 T0-2 localized | neuroendocrine family,12,124,0.0,0.1935483870967742,0.0,0.08870967741935484,1.0,0.785729430345514,0,0,5,18,12,100,0.0,0.05,-0.05,1.0,0,24,,0.75,,,0.0,0.18548387096774194,-0.18548387096774194,0.21817188334843032,0.3818007958597531,1.0,,False,False,False,False,False,False
composite_stage_x_histology_code,M0 indeterminate T/N | 8140,9,165,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.793939393939394,1.0,0.7721611721611721,0,0,23,13,3,44,0.0,0.5227272727272727,-0.5227272727272727,0.23404255319148937,6,121,0.0,0.10743801652892562,-0.10743801652892562,1.0,0.0,0.21818181818181817,-0.21818181818181817,0.20684209819591137,0.5294405690550301,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_family,M0 indeterminate T/N | adenocarcinoma family,9,187,0.6666666666666666,0.7219251336898396,0.6666666666666666,0.7754010695187166,1.0,0.7674650130845374,0,0,26,16,3,52,0.0,0.5,-0.5,0.23838383838383836,6,135,0.0,0.11851851851851852,-0.11851851851851852,1.0,0.0,0.22459893048128343,-0.22459893048128343,0.20904741169390684,0.3818007958597531,1.0,1.0,False,False,False,False,False,False
