seed,metric_schema_version,candidate,metric,raw_value,calibrated_value,calibrated_minus_raw,improved
20260834,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2935460410941768,0.002745962065285046,False
20260834,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8854536713028585,-0.0016921177356484796,False
20260834,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.0027301299869004385,-0.007633585368655706,True
20260834,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.0031478339157629226,-0.012413840396334185,True
20260834,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.00586521506483606,-0.03672444277579334,True
20260834,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8695344048985839,-0.0008488327592806044,False
20260834,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.9235323383084577,-0.0004975124378109319,False
20260834,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.08358334256879774,1.833080933930087e-05,False
20260834,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.27377024763371005,0.0001019759838158385,False
20260834,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.9013535637648633,-0.00014030386250896143,False
20260834,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004142899934923732,0.0007616479007131242,False
20260834,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.005017084353108664,0.0008569909518552146,False
20260834,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.010025499834652563,-8.524746041715936e-05,True
20260834,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8780227324913893,-0.0004244163796401912,False
20260834,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9285074626865671,-0.00024875621890552146,False
20260835,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.08868755251774438,-1.6538155884718297e-05,True
20260835,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.29381391796367995,0.003013838934788182,False
20260835,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8853956081679659,-0.0017501808705410182,False
20260835,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.0024156095309556896,-0.007948105824600454,True
20260835,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.0029616234066548687,-0.01260005090544224,True
20260835,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.005449234502546085,-0.03714042333808332,True
20260835,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8693646383467278,-0.001018599311136681,False
20260835,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.9234328358208955,-0.0005970149253731183,False
20260835,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.08359543989120151,3.0428131743073794e-05,False
20260835,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.2738013614492397,0.00013308979934550935,False
20260835,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.901316909796047,-0.0001769578313253195,False
20260835,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004305844268588402,0.0009245922343777938,False
20260835,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.005040775367206574,0.0008806819659531251,False
20260835,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.011162455698007584,0.001051708402937862,False
20260835,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8780227324913893,-0.0004244163796401912,False
20260835,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9285074626865671,-0.00024875621890552146,False
20260836,2_weighted_f1_primary,nn,brier,0.0887040906736291,0.08863185544292564,-7.223523070346016e-05,True
20260836,2_weighted_f1_primary,nn,log_loss,0.29080007902889177,0.2934371215251451,0.00263704249625335,False
20260836,2_weighted_f1_primary,nn,roc_auc,0.8871457890385069,0.8856433146802896,-0.001502474358217376,False
20260836,2_weighted_f1_primary,nn,ece,0.010363715355556144,0.003021430564604425,-0.007342284790951719,True
20260836,2_weighted_f1_primary,nn,rms_calibration_error,0.015561674312097108,0.003355322147384748,-0.01220635216471236,True
20260836,2_weighted_f1_primary,nn,max_calibration_error,0.0425896578406294,0.005050357291808583,-0.03753930054882082,True
20260836,2_weighted_f1_primary,nn,official_weighted_f1_at_fixed_rate,0.8703832376578645,0.8697890547263682,-0.0005941829314962677,False
20260836,2_weighted_f1_primary,nn,legacy_dead_class_f1_at_fixed_rate,0.9240298507462686,0.923681592039801,-0.0003482587064675968,False
20260836,2_weighted_f1_primary,tree80_nn20,brier,0.08356501175945844,0.0835840033274162,1.8991567957760136e-05,False
20260836,2_weighted_f1_primary,tree80_nn20,log_loss,0.2736682716498942,0.27376580013113905,9.752848124483515e-05,False
20260836,2_weighted_f1_primary,tree80_nn20,roc_auc,0.9014938676273723,0.9013675043310496,-0.0001263632963226513,False
20260836,2_weighted_f1_primary,tree80_nn20,ece,0.0033812520342106083,0.004156454235320059,0.0007752022011094507,False
20260836,2_weighted_f1_primary,tree80_nn20,rms_calibration_error,0.004160093401253449,0.0048587701278892505,0.0006986767266358015,False
20260836,2_weighted_f1_primary,tree80_nn20,max_calibration_error,0.010110747295069722,0.009671859637486263,-0.0004388876575834588,True
20260836,2_weighted_f1_primary,tree80_nn20,official_weighted_f1_at_fixed_rate,0.8784471488710295,0.8782773823191733,-0.0001697665518561875,False
20260836,2_weighted_f1_primary,tree80_nn20,legacy_dead_class_f1_at_fixed_rate,0.9287562189054727,0.9286567164179105,-9.950248756218638e-05,False
