dimension,slice,rows,pseudo90_dead_class_f1,combined_dead_class_f1,combined_minus_pseudo90_dead_f1,pseudo90_weighted_f1,combined_weighted_f1,combined_minus_pseudo90_weighted_f1,changed_predictions,pseudo90_dead_to_combined_alive,pseudo90_alive_to_combined_dead,corrected_predictions,harmed_predictions,net_corrected,large_enough_for_intervention,material_dead_f1_regression,material_weighted_f1_regression,fold_dead_delta_mean,fold_dead_delta_std,fold_dead_delta_min,fold_dead_delta_max,fold_dead_wins,fold_dead_ties,fold_dead_losses,fold_weighted_delta_mean,fold_weighted_delta_std,fold_weighted_delta_min,fold_weighted_delta_max,fold_weighted_wins,fold_weighted_ties,fold_weighted_losses
derived_eod_composite_stage,M0 indeterminate T/N,932,0.9538461538461539,0.9532267613972765,-0.0006193924488774316,0.9111314761899342,0.9102429867730716,-0.0008884894168625923,7,4,3,3,4,-1,True,False,False,0.0005365939368025208,0.0039873794832101786,-0.006211180124223614,0.003205305332964925,3,1,1,0.0005335294161181503,0.0075246120063479135,-0.01227585196494596,0.00633980619009622,3,1,1
derived_eod_composite_stage,EOD unavailable (all blank),11987,0.956079560795608,0.9563847504163479,0.0003051896207398874,0.9123282765321188,0.9130822853134484,0.0007540087813295848,59,32,27,33,26,7,True,False,False,-0.00014193492008083287,0.0011389723761533672,-0.0012351018387065649,0.0013859194225840366,2,0,3,-0.00020849459687233285,0.001921943908953772,-0.0026448376487475667,0.0021933597005650007,2,0,3
derived_eod_composite_stage,M1 distant/metastatic,5321,0.9406083025071927,0.9417924237757931,0.0011841212686003466,0.8777396325227073,0.8794347561191339,0.0016951235964266509,47,19,28,29,18,11,True,False,False,0.0015806410141320892,0.00248334633774691,-0.001029866117404743,0.005470127160267957,3,1,1,0.002809525769467203,0.003923579476063207,-0.0021081490144416737,0.00790881588425496,3,1,1
derived_eod_composite_stage,EOD not applicable (88),754,0.8729752770673487,0.8758503401360545,0.0028750630687057743,0.7983837688773632,0.801761666924288,0.0033778980469247877,13,5,8,8,5,3,True,False,False,0.0023379732095389905,0.003541244138799625,0.0,0.008620689655172376,4,1,0,0.0019720095003920466,0.007433092763586539,-0.0019242746947859546,0.015195421714818247,1,1,3
derived_eod_composite_stage,M0 N1-3 node-positive,1829,0.8574643660915229,0.8607784431137725,0.0033140770222496174,0.7909211105400736,0.7949181054812025,0.0039969949411288175,36,15,21,22,14,8,True,False,False,0.0003376914442294821,0.0047400924905995675,-0.0035714285714285587,0.006008192320986039,2,0,3,0.00031930728184275113,0.007193892105429742,-0.006636996827855901,0.008154143976442318,2,0,3
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,611,0.8120300751879699,0.8171500630517023,0.005119987863732467,0.7558576404262981,0.7645885278360929,0.008730887409794774,11,8,3,8,3,5,True,False,False,0.004796386132860553,0.009155342366057735,-0.006611570247933907,0.0148705096073517,3,1,1,0.00788281413035965,0.013094236945788115,-0.00963647492548203,0.022673762595789793,3,1,1
histologic_type_icdo3,8551,514,0.5943775100401606,0.5901639344262295,-0.004213575613931098,0.7898108720853153,0.7900700753606283,0.0002592032753130358,7,6,1,4,3,1,True,True,False,-0.008668310813888991,0.02042285622440617,-0.03887147335423202,0.013937282229965153,1,2,2,-0.0023140363881071655,0.008525407107902859,-0.015171531195872112,0.00815849934971602,1,2,2
histologic_type_icdo3,8071,293,0.8557213930348259,0.8528678304239401,-0.0028535626108857626,0.8055482344915872,0.8024457811287665,-0.0031024533628206674,5,3,2,2,3,-1,False,True,True,-0.0033994489963179,0.00961099275674891,-0.014652014652014711,0.009070294784580546,1,2,2,-0.004129491354727533,0.014039346316199268,-0.0196503535130359,0.015106623369440797,1,2,2
histologic_type_icdo3,8041,2687,0.963196221216296,0.9629337539432177,-0.0002624672730783262,0.9204453830536248,0.9213181941163436,0.000872811062718859,17,13,4,8,9,-1,True,False,False,0.00015452647694245148,0.0007964703672797808,-0.0010200605455291667,0.0009651027615099617,2,2,1,0.0011650357232742658,0.002377397219642279,-0.0013532324872659318,0.0045375146236338315,2,2,1
histologic_type_icdo3,8246,221,0.9757281553398058,0.9757281553398058,0.0,0.9533526629471804,0.9533526629471804,0.0,0,0,0,0,0,0,False,False,False,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0,5,0
