dimension,slice,candidate,rows,dead_count,alive_count,actual_dead_rate,global_policy_predicted_dead_rate,global_policy_dead_class_f1,global_policy_weighted_f1,global_policy_dead_f1_gap,global_policy_weighted_f1_gap,within_slice_predicted_dead_rate,within_slice_dead_class_f1,within_slice_weighted_f1,within_minus_global_dead_f1,within_minus_global_weighted_f1,large_enough_for_intervention,weak_by_dead_f1,weak_by_weighted_f1
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,nested_pseudo90,611,404,207,0.6612111292962357,0.6448445171849427,0.8120300751879699,0.7558576404262981,-0.11458684023491572,-0.11893952757982518,0.8445171849427169,0.8369565217391305,0.7239212197155236,0.024926446551160608,-0.031936420710774516,True,True,True
derived_eod_composite_stage,M0 N1-3 node-positive,nested_pseudo90,1829,1323,506,0.7233460907599781,0.7342810278840897,0.8574643660915229,0.7909211105400736,-0.06915254933136272,-0.08387605746604965,0.8452706396938218,0.8755663994423144,0.7848134369163349,0.018102033350791524,-0.006107673623738763,True,True,True
derived_eod_composite_stage,EOD not applicable (88),nested_pseudo90,754,577,177,0.7652519893899205,0.7904509283819628,0.8729752770673487,0.7983837688773632,-0.053641638355536925,-0.0764133991287601,0.8448275862068966,0.8780889621087314,0.7885348677989542,0.005113685041382765,-0.009848901078408967,True,True,True
derived_eod_composite_stage,M1 distant/metastatic,nested_pseudo90,5321,4740,581,0.890809998120654,0.9381695170080812,0.9406083025071927,0.8777396325227073,0.013991387084307139,0.002942464516583976,0.8449539560233039,0.9148982243395409,0.8631497039719176,-0.025710078167651806,-0.014589928550789666,True,False,False
derived_eod_composite_stage,M0 indeterminate T/N,nested_pseudo90,932,833,99,0.8937768240343348,0.9195278969957081,0.9538461538461539,0.9111314761899342,0.027229238423268298,0.03633430818381089,0.8454935622317596,0.9315237507711289,0.8902758177791075,-0.022322403075024977,-0.020855658410826705,True,False,False
derived_eod_composite_stage,EOD unavailable (all blank),nested_pseudo90,11987,10965,1022,0.9147409693834988,0.9391006924167848,0.956079560795608,0.9123282765321188,0.029462645372722363,0.037531108525995505,0.8449987486443647,0.9282260358395752,0.889525215713583,-0.02785352495603277,-0.02280306081853578,True,False,False
derived_eod_composite_stage,M0 N0 T0-2 localized,nested_pseudo90_nn20,2566,1078,1488,0.4201091192517537,0.3250194855806703,0.6652719665271967,0.7441198858617643,-0.2621409687961864,-0.13203541455920786,0.8448947778643804,0.6568083795440542,0.5132990371102271,-0.008463586983142424,-0.2308208487515372,True,True,True
derived_eod_composite_stage,M0 N0 T3-4 locally advanced,nested_pseudo90_nn20,611,404,207,0.6612111292962357,0.6366612111292962,0.8171500630517023,0.7645885278360929,-0.11026287227168075,-0.11156677258487924,0.8445171849427169,0.8347826086956521,0.7202401693117304,0.017632545643949782,-0.044348358524362474,True,True,True
derived_eod_composite_stage,M0 N1-3 node-positive,nested_pseudo90_nn20,1829,1323,506,0.7233460907599781,0.7375615090213231,0.8607784431137725,0.7949181054812025,-0.0666344922096106,-0.08123719493976966,0.8452706396938218,0.8755663994423144,0.7848134369163349,0.014787956328541907,-0.01010466856486758,True,True,True
derived_eod_composite_stage,EOD not applicable (88),nested_pseudo90_nn20,754,577,177,0.7652519893899205,0.7944297082228117,0.8758503401360545,0.801761666924288,-0.05156259518732864,-0.07439363349668415,0.8448275862068966,0.8813838550247117,0.7942501416422257,0.005533514888657276,-0.007511525282062226,True,True,True
derived_eod_composite_stage,M1 distant/metastatic,nested_pseudo90_nn20,5321,4740,581,0.890809998120654,0.9398609283969179,0.9417924237757931,0.8794347561191339,0.014379488452409994,0.003279455698161793,0.8449539560233039,0.9148982243395409,0.8631497039719176,-0.026894199436252153,-0.016285052147216317,True,False,False
