dimension,slice,candidate,fold_global_policy_dead_class_f1_mean,fold_global_policy_dead_class_f1_std,fold_global_policy_dead_class_f1_min,fold_global_policy_dead_class_f1_max,fold_global_policy_weighted_f1_mean,fold_global_policy_weighted_f1_std,fold_global_policy_weighted_f1_min,fold_global_policy_weighted_f1_max,fold_within_slice_dead_class_f1_mean,fold_within_slice_dead_class_f1_std,fold_within_slice_dead_class_f1_min,fold_within_slice_dead_class_f1_max,fold_within_slice_weighted_f1_mean,fold_within_slice_weighted_f1_std,fold_within_slice_weighted_f1_min,fold_within_slice_weighted_f1_max
age_recode,60-64 years,nested_pseudo90,0.9118211750433236,0.009164813067600799,0.9012345679012346,0.9225874867444327,0.8566800623739189,0.01678573821972135,0.8333812673760905,0.8745748027711513,0.9167431828641075,0.011480081757540644,0.8981670061099797,0.9283489096573209,0.8564340836754637,0.02038271665859708,0.8232123339315965,0.8767413347831485
age_recode,60-64 years,nested_pseudo90_nn20,0.9130892174222864,0.01150039531367191,0.8989690721649485,0.926829268292683,0.8585709335445155,0.020484427004129422,0.8305019211342413,0.8814474163179375,0.9158892070544118,0.009573499215557665,0.90020366598778,0.9241952232606438,0.8549679223080229,0.017127447817429396,0.8267480872529646,0.8695959049155049
age_recode,65-69 years,frozen_tree,0.9074179978987049,0.005873626834079676,0.8986710963455149,0.914380714879468,0.8504613178890047,0.008386013203705018,0.838451493416853,0.8613562670710048,0.9136715920707651,0.008095455665724676,0.9024979854955681,0.9229583975346687,0.8509038283681087,0.01421045456019369,0.8312528826155606,0.8673701079992242
age_recode,65-69 years,nested_pseudo90,0.9072929408720289,0.0044865382326435615,0.900990099009901,0.9129411764705883,0.8493250989636489,0.007542956422059428,0.8395089756117083,0.8576735929589279,0.9158964590172545,0.00696026295120256,0.9073327961321515,0.926040061633282,0.8547469743980114,0.012251662002378845,0.8396205082709872,0.8726753036792553
age_recode,65-69 years,nested_pseudo90_nn20,0.9076309925721373,0.005660293678313893,0.8984310487200661,0.9129411764705883,0.850435247183959,0.00946218453666137,0.8357071698910071,0.8584598774392965,0.9152555530030778,0.006146769186394437,0.9073327961321515,0.9244992295839753,0.8536407109828008,0.010872903526463987,0.8396205082709872,0.8700227058392397
age_recode,70-74 years,frozen_tree,0.92168571871978,0.004022577440754749,0.9180565627266135,0.9277456647398844,0.870323147561128,0.006065447556958243,0.8633227922847212,0.8785891449746631,0.9274144877070395,0.005299342292057355,0.9200283085633404,0.93361285814116,0.8750256814959307,0.009569653646942634,0.8617369965913817,0.886477168979394
age_recode,70-74 years,nested_pseudo90,0.9217755055764476,0.006138849578475635,0.9141630901287554,0.9291907514450867,0.8706944987543087,0.010585069206320722,0.8561292550365486,0.881178654330882,0.9248606279946652,0.005504904555776956,0.9186128803963199,0.9308176100628931,0.8706292139921761,0.00992384624377897,0.8592898637876895,0.8816972603048423
age_recode,70-74 years,nested_pseudo90_nn20,0.9205531802677974,0.005619010195072389,0.9120800571837027,0.9276410998552822,0.8690783096607664,0.010101992377518567,0.8523418860834399,0.878921734801046,0.9257268401678929,0.007628346880147729,0.9143665958952583,0.9333333333333333,0.8721124720037048,0.013564766960104134,0.8519484653766122,0.8852858924376572
age_recode,75-79 years,frozen_tree,0.9303999997502587,0.0059776912074873435,0.9205397301349325,0.9357249626307922,0.8803387236227971,0.010647150170544562,0.8645391589919327,0.8899731390981528,0.9306283128457908,0.005366259100585924,0.9214659685863874,0.9343907714491708,0.8819797920664396,0.00981470252350786,0.865192626631279,0.8887679871510424
age_recode,75-79 years,nested_pseudo90,0.92808769255447,0.00674641614922316,0.9164785553047404,0.9321789321789322,0.876219016388535,0.010408568380387555,0.8592096613456611,0.8852840389082114,0.927065240917482,0.006645706502385705,0.9169783096484667,0.9329488103821196,0.8759133086238465,0.01198307542231598,0.8574893481530665,0.8863233275279885
