dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,75-79 years,nested_pseudo90_nn20,2,792,0.8396464646464646,0.851010101010101,0.9335324869305451,0.8859399115293706,0.8446969696969697,0.9340329835082459,0.8881665833749792
age_recode,75-79 years,nested_pseudo90_nn20,3,786,0.8346055979643766,0.8676844783715013,0.9327354260089686,0.8802473784502334,0.8447837150127226,0.9272727272727272,0.8762940198054702
age_recode,75-79 years,nested_pseudo90_nn20,4,805,0.8161490683229814,0.8397515527950311,0.9167291822955739,0.8583654826862309,0.84472049689441,0.9169783096484667,0.8574893481530665
age_recode,75-79 years,nested_pseudo90_nn20,5,822,0.8418491484184915,0.8381995133819952,0.9355539464156408,0.8922274154286631,0.8454987834549879,0.9372746935832732,0.8936573063971506
age_recode,80-84 years,frozen_tree,1,593,0.8836424957841484,0.8735244519392917,0.9481765834932822,0.910572562816998,0.8448566610455311,0.9404878048780487,0.9033267329059703
age_recode,80-84 years,frozen_tree,2,560,0.8964285714285715,0.9107142857142857,0.9545454545454546,0.91513949013949,0.8446428571428571,0.9394871794871795,0.9036117216117217
age_recode,80-84 years,frozen_tree,3,566,0.8710247349823321,0.9045936395759717,0.9432835820895522,0.8927120608526328,0.8445229681978799,0.9289392378990731,0.8828292049443971
age_recode,80-84 years,frozen_tree,4,586,0.8993174061433447,0.9044368600682594,0.9612109744560076,0.9292208206990107,0.8447098976109215,0.9452054794520548,0.9131341655368025
age_recode,80-84 years,frozen_tree,5,638,0.8652037617554859,0.8918495297805643,0.9420160570918823,0.8933046197267817,0.8448275862068966,0.9349220898258478,0.8919617369568379
age_recode,80-84 years,nested_pseudo90,1,593,0.8836424957841484,0.8718381112984823,0.9490874159462056,0.9124808032051254,0.8448566610455311,0.9404878048780487,0.9033267329059703
age_recode,80-84 years,nested_pseudo90,2,560,0.8964285714285715,0.9125,0.9575518262586377,0.9203260813694336,0.8446428571428571,0.9333333333333333,0.8938095238095238
age_recode,80-84 years,nested_pseudo90,3,566,0.8710247349823321,0.901060070671378,0.9371884346959123,0.8823016528522739,0.8445229681978799,0.9289392378990731,0.8828292049443971
age_recode,80-84 years,nested_pseudo90,4,586,0.8993174061433447,0.9044368600682594,0.9536423841059603,0.915410249128086,0.8447098976109215,0.9412915851272016,0.9069294630751454
age_recode,80-84 years,nested_pseudo90,5,638,0.8652037617554859,0.9012539184952978,0.9423247559893523,0.8912954338285775,0.8448275862068966,0.9367552703941339,0.8950050683101665
age_recode,80-84 years,nested_pseudo90_nn20,1,593,0.8836424957841484,0.8752107925801011,0.9511025886864813,0.9152940385553535,0.8448566610455311,0.9404878048780487,0.9033267329059703
age_recode,80-84 years,nested_pseudo90_nn20,2,560,0.8964285714285715,0.9125,0.9555774925962488,0.916620317712198,0.8446428571428571,0.9374358974358974,0.9003443223443224
